epoch checkpoint train_loss train_grad_norm range_train_lr test_loss
0 GENOTYPE_AUTOENCODER_1 0.0469 0.0052 1.00e-02 0.0443
1 GENOTYPE_AUTOENCODER_1 0.0398 0.0030 1.00e-02 0.0378
2 GENOTYPE_AUTOENCODER_1 0.0364 9.669E-04 1.00e-02 0.0372
3 GENOTYPE_AUTOENCODER_1 0.0363 6.904E-04 1.00e-02 0.0372
4 GENOTYPE_AUTOENCODER_1 0.0363 6.811E-04 1.00e-02 0.0372
5 GENOTYPE_AUTOENCODER_1 0.0362 6.809E-04 1.00e-02 0.0372
6 GENOTYPE_AUTOENCODER_1 0.0362 6.808E-04 1.00e-02 0.0372
7 GENOTYPE_AUTOENCODER_1 0.0362 6.808E-04 1.00e-02 0.0372
8 GENOTYPE_AUTOENCODER_1 0.0362 6.808E-04 1.00e-02 0.0372
9 GENOTYPE_AUTOENCODER_1 0.0362 6.808E-04 1.00e-02 0.0372
10 GENOTYPE_AUTOENCODER_1 0.0362 6.808E-04 1.00e-02 0.0372
