epoch checkpoint train_loss train_grad_norm range_train_lr test_loss
0 TJGGF 0.0497 0.0067 1.00e-03 0.0499
1 TJGGF 0.0489 0.0065 1.00e-03 0.0491
2 TJGGF 0.0482 0.0063 1.00e-03 0.0484
3 TJGGF 0.0474 0.0061 1.00e-03 0.0476
4 TJGGF 0.0466 0.0061 1.00e-03 0.0468
5 TJGGF 0.0458 0.0059 1.00e-03 0.0460
6 TJGGF 0.0449 0.0056 1.00e-03 0.0451
7 TJGGF 0.0440 0.0054 1.00e-03 0.0442
8 TJGGF 0.0431 0.0051 1.00e-03 0.0433
9 TJGGF 0.0421 0.0048 1.00e-03 0.0423
10 TJGGF 0.0411 0.0045 1.00e-03 0.0412
11 TJGGF 0.0400 0.0040 1.00e-03 0.0402
12 TJGGF 0.0389 0.0035 1.00e-03 0.0392
13 TJGGF 0.0380 0.0030 1.00e-03 0.0383
14 TJGGF 0.0371 0.0025 1.00e-03 0.0376
15 TJGGF 0.0365 0.0022 1.00e-03 0.0370
